fill	x	y	showSelectedlegendcolourfill	showSelected1
#FC8D62	0.0420629114850037	0.232152588555858	glmnet	balanced
#E78AC3	0.240916849548891	0.864305177111717	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0382134599002069	0.268131868131868	glmnet	balanced
#E78AC3	0.241085554338566	0.887912087912088	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0384708444229373	0.266101694915254	glmnet	balanced
#E78AC3	0.238930558916042	0.87683615819209	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0385698542916616	0.249331193151418	glmnet	balanced
#E78AC3	0.246724623484756	0.868913857677903	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0364874726343955	0.255237045203969	glmnet	balanced
#E78AC3	0.240209194843104	0.880374862183021	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0388848129126926	0.258880516684607	glmnet	balanced
#E78AC3	0.236488138909269	0.8745963401507	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0429425399536416	0.267536704730832	glmnet	balanced
#E78AC3	0.242893741612785	0.87710712343665	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0394546332046332	0.258581235697941	glmnet	balanced
#E78AC3	0.244811776061776	0.877574370709382	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0420937042459737	0.258695652173913	glmnet	balanced
#E78AC3	0.246339677891655	0.879347826086957	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#E78AC3	0.237528826313873	0.86867000556483	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0420629114850037	0.232152588555858	glmnet	balanced
#E78AC3	0.240916849548891	0.864305177111717	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0382134599002069	0.268131868131868	glmnet	balanced
#E78AC3	0.241085554338566	0.887912087912088	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0384708444229373	0.266101694915254	glmnet	balanced
#E78AC3	0.238930558916042	0.87683615819209	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0385698542916616	0.249331193151418	glmnet	balanced
#E78AC3	0.246724623484756	0.868913857677903	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0364874726343955	0.255237045203969	glmnet	balanced
#E78AC3	0.240209194843104	0.880374862183021	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0388848129126926	0.258880516684607	glmnet	balanced
#E78AC3	0.236488138909269	0.8745963401507	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0429425399536416	0.267536704730832	glmnet	balanced
#E78AC3	0.242893741612785	0.87710712343665	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0394546332046332	0.258581235697941	glmnet	balanced
#E78AC3	0.244811776061776	0.877574370709382	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#FC8D62	0.0420937042459737	0.258695652173913	glmnet	balanced
#E78AC3	0.246339677891655	0.879347826086957	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
#E78AC3	0.237528826313873	0.86867000556483	xgboost	balanced
#8DA0CB	0	0	major.class	balanced
